id,summary
250366733,"농어촌공사 당진지사 앞에 공공비축벼 320t을 쌓아두고 임대료를 쌀 판매가격으로 인하할 것을 요구하며, 계약기간이 올해만 2년 남았는데도 임대료가 쌀 판매가격인 1300원으로 책정돼 있어 계약기간이 올해 말인 임대사업자에게는 불이익이 될 것으로 보인다며 간척지협의회가 시위를 벌이고 있다."
250371241,"신 벌떼해장국이 24시간 영업을 재개하여 오는 12일부터 31일까지 뼈해장국을 5000원, 감자탕은 5000원 할인한 가격으로 제공한다."
250371242,"송악읍 휘발유와 경유 평균 가격이 각각 1520원과 1323원으로 당진지역 14개 읍·면·동 가운데 가장 높은 것으로 조사됐으며 당진주유소 원종경 대표는 ""석유공사가 유류 판매를 늘리면 주유소 가격이 자연스럽게 오를 것""이라며 ""기름 판매가격이 높아지면 주유소는 자연스럽게 가격이 내려간다""고 말했다."
252106905,어기구 국회의원은 지난 17일 '천연가스 공급과 안정적인 수급'을 주제로 정책간담회를 열고 2020년 착공 예정인 액화천연가스(LNG) 공급의 차질 없이 진행되어야 한다는 강조를 했다.
252639810,"당진시정책자문위원회가 행정·사회·도시 등 각 분야에 걸쳐 정책 수립 과정에서 각계 전문가의 의견을 수렴하고자 정책자문위원회를 설치했지만, 제대로 활용되지 않고 있다."
252639842,"마을법인 교삼발전협의회 대표를 맡고 있는 이장 P씨 등 3명에 대해 업무상배임으로 기소중지 처분을 내린 대전지방검찰청은, 검찰로 송치된 2월 중 총회를 개최해 이사 선임과 관련된 분쟁을 해결할 예정이다. "
252639891,방송통신대학 당진학생회 제41대 이취임식에서 취임한 강연 회장은 중도탈락 학우들을 위해 신발 정리를 열심히하라는 말을 전했다.
252639893,(사)한국생활음악협회 당진지부 김형태 지부장은 3·4대 당진생음협 지부장을 역임하여 매주 금요일마다 열리는 금요음악회와 문화소외지역과 소외계층을 찾아가는 음악회 등을 통해 지역민과 함께 하는 생음협을 이끌어 나갈 예정이다.
254192288,"지난 6일 당진교육지원청에서 당진교육지원청에서 예비 중학생 부모 대상 예비 중학생 부모 대상 예비 중학생 되기 교육이 열렸으며, 중학생이 되면 중학교에서는 더욱 더 많은 활동을 해야 하며, 특히 학교에서는 더 많은 활동을 해야 한다고 말하였다."
254232982,"국립농산물품질관리원에서는 다양한 국가농식품 인증관리와 원산지표시 관리, 농산물 검사 등 농식품 품질관리를 실시해왔는데, 농관원에서는 3년차를 맞이하면서 지역 농민들을 위해 다양한 정책을 시행해왔다."
254232993,"지난 9일 당진시 웨딩의전당 가원에서 당진시배구협회 회장 이임 및 회장 이취임식이 열렸으며, 새로 취임한 김송원 취임회장은 ""배구는 남녀 구분 없는 역동적인 스포츠""라며 한 단계 도약할 수 있도록 노력하겠다고 말했다."
254233007,"2008년부터 호수시문학회 회장으로 활동하고 있는 박영양 호수시문학회장은 회원들에게 적극적인 참여와 문학에 대한 열정을 당부하며 올해 윤곤강 포럼을 윤곤강 시인에 대한 시나 독후감 쓰기, 문학 강연 등 지역의 문학발전과 저변 확대를 위한 축제의 장으로 만들겠다고 말했다."
254996220,"지난 14일, 당진시가 충남도 농정부서 간 회의를 열고 쌀 생산량을 줄이고 신소득 작물 재배 확대를 위해 논 타작물 전환 재배 시범사업으로 1~2ha의 논에 올방개를 재배하는 방안을 검토하고, 가칭 '당진시 농수산종합유통센터' 건립의 필요성에 대해서도 설명하고, 적극적인 지원을 요청했다."
254996221,"지난 16일 어기구 국회의원이 산업통상자원부 소관 7개 공공기관 노동조합장과 함께 간담회를 열고 공공기관 민영화에 따른 인프라 부족, 지방 이전에 따른 인프라 부족, 공공기관 지방 이전에 따른 인프라 부족 등에 대해 논의했다."
254996244,"고대초등학교 총동문회 신임회장에 정봉식 씨가 취임했으며, 정봉식 회장은 앞으로 고대초등학교가 더욱 발전할 수 있도록 최선을 다하겠다는 각오를 밝혔다."
