id,summary
500733466,농어촌공사 당진지사 앞에 공공비축벼 320t을 쌓은 기존 임차 법인들은 계약기간이 올해 말인 A대표에게 공공비축벼 320t을 내놓으라며 시위를 제안했다.
500742482,"신벌떼해장국이 고객들의 성원에 보답하고자 뼈해장국을 2000원, 감자탕은 5000원 할인한 가격으로 제공하는 24시간 영업을 재개하며 오는 12일부터 31일까지 특별 감사 이벤트를 실시할 예정이다."
500742484,"1년 전과 비교해 당진지역 휘발유 가격과 경유 가격 모두 상승한 가운데, 주유소 점유율이 높은 정유사들이 공급비용을 높여 가격 상승을 부추기고 있는 것으로 보인다."
504213810,어기구 국회의원은 지난 17일 ‘천연가스 제5기지 건설이 차질 없이 진행돼야 한다’며 LNG 공급 관련 사안에 대해 논의하는 '천연가스 공급과 관련한 정책간담회'를 열고 2020년 착공 예정 개국제구의 차질없는 진행과 차질없는 건설을 강조했다.
505279620,"당진시정책자문위원회가 행정, 학계, 법조계, 언론계, 정당 등 다양한 전문가의 의견을 수렴하고자 정책 수립 과정에서 각계 전문가의 의견을 수렴하고자 만든 위원회가 제대로 운영되고 있지 않다는 비판이 제기되고 있다."
505279684,마을법인 교삼발전협의회와 토지매입과정에서 폭약업체 비용을 요구하는 등의 이유로 업무상배임으로 기소중지 처분을 받았던 석문면 교로3리 전 이장인 P씨 등 3명이 검찰의 불기소 처분을 받았다.
505279782,지난 25일 한촌설렁탕에서방송통신대학 당진학생회 이·취임식에서 강연 회장이 취임했으며 그는 “지난해 많은 행사에 참여해 준 사람들에게 고맙다”며 “올해도 똑같이 서로 협력해 당진학생회가 잘 되기를 바란다”고 말했다.
505279786,"(사)한국생활음악협회 당진지부 (사)한국생활음악협회 당진지부 김형태 지부장이 2016년 3·4대 당진생음협 지부장을 맡은 이후 새롭게 선출돼, 당진생음협을 이끌 김형태 지부장이  지역민과 소외계층을 찾아가는 생음협을 만들어 갈 것을 다짐했다."
508384576,"지난 6일 당진교육지원청에서 예비 중학생 부모 대상 예비 중학생 부모 대상 예비 중학생 부모 대상 당진 예비 중학생 부모 대상 당진 예비 중학생 되기 교육이 열렸으며 중학생이 중학교에서는 수행평가와 서답형평가가 주를 이루었으나 앞으로는 문제해결능력, 창의성, 부지런함, 협력능력, 인간관계 등의 덕목을 배우며 중학교 생활을 할 수 있을 것이라고 생각하면 좋을 듯 하다."
508465964,국립농산물품질관리원은 고품질·안전 농식품을 공급하고 농업인의 소득 안정을 지원하기 위해 다양한 제도를 실행하는 기관이다.
